,Outlet,Compound Score,Negative Score,Neutral Score,Positive Score,Tweet Text,Tweet Date,Tweet Number
10,@CNN,0.0,0.0,1.0,0.0,This 84-year-old hurricane hunter has flown into the eye of 574 storms. He's not done yet https://t.co/h5hT3FGakc https://t.co/n7N1gtvrRe,Wed Sep 05 01:21:06 +0000 2018,11
11,@CNN,0.0,0.0,1.0,0.0,RT @AC360: Democratic @SenWhitehouse slams Judge Kavanaugh for his pledge today to be a neutral arbiter of the law if confirmed to the Supr…,Wed Sep 05 01:16:12 +0000 2018,12
12,@CNN,0.0,0.0,1.0,0.0,"Monica Lewinsky walking off stage was an act of self-preservation and self-respect, writes Jill Filipovic for… https://t.co/KsBQQy6dfu",Wed Sep 05 01:10:05 +0000 2018,13
13,@CNN,0.128,0.0,0.909,0.091,Mueller's prosecutors have responded to the latest proposal from Trump's legal team regarding a possible interview… https://t.co/CihJ9HzPeJ,Wed Sep 05 01:01:06 +0000 2018,14
14,@CNN,0.3818,0.0,0.88,0.12,"GoFundMe said it is working with law enforcement to ensure a homeless man receives all of the nearly $400,000 raise… https://t.co/0lDjnzZa1q",Wed Sep 05 00:51:03 +0000 2018,15
15,@CNN,-0.296,0.109,0.891,0.0,"RT @OutFrontCNN: Thirteen years after a smash-and-grab, a missing and mismatched pair of Dorothy's famed ruby red slippers have been recove…",Wed Sep 05 00:45:34 +0000 2018,16
16,@CNN,0.0,0.0,1.0,0.0,"How Nike's ""Just do it"" became a slogan about activism, too https://t.co/A6WCLMDfUu https://t.co/ChDRDocl4X",Wed Sep 05 00:41:05 +0000 2018,17
17,@CNN,0.6915,0.046,0.742,0.212,"RT @AC360: .@carlbernstein: ""This is deadly serious. Nobody should take any kind of comfort from this book or joy at what Bob [Woodward] re…",Wed Sep 05 00:33:02 +0000 2018,18
18,@CNN,0.0,0.0,1.0,0.0,"A federal court concluded that there is ""insufficient time"" before the November midterm elections to redraw an elec… https://t.co/fmzOyaCeG7",Wed Sep 05 00:31:04 +0000 2018,19
19,@CNN,0.0,0.0,1.0,0.0,"RT @AC360: “Who are you going to believe on this one? President Trump… or President Trump?”

@AndersonCooper on President Trump’s dueling o…",Wed Sep 05 00:22:40 +0000 2018,20
20,@CNN,-0.296,0.095,0.905,0.0,"About one in three women and nearly one in four men does not exercise enough to avoid common diseases, a new global… https://t.co/yY9Z8SeW3Q",Wed Sep 05 00:22:09 +0000 2018,21
21,@CNN,0.7506,0.0,0.726,0.274,Why is Warren Buffett launching a health care company? He tells @PoppyHarlowCNN the current health care system is b… https://t.co/9y1yjkZG5m,Wed Sep 05 00:20:22 +0000 2018,22
22,@CNN,0.128,0.104,0.774,0.121,"RT @OutFrontCNN: ""I think the American people will find out what a dangerous nominee this person will be as the fifth vote on the Supreme C…",Wed Sep 05 00:15:50 +0000 2018,23
23,@CNN,-0.34,0.13,0.87,0.0,"President Trump said clean-up after his Charlottesville comments was the ""biggest f---ing mistake I've made,"" accor… https://t.co/CX9YN6ClCx",Wed Sep 05 00:11:05 +0000 2018,24
24,@CNN,0.3182,0.0,0.645,0.355,Exclusive: Meet Facebook's top troll hunter https://t.co/Y8QVPujjS1 https://t.co/lfMrjEmHxF,Wed Sep 05 00:09:17 +0000 2018,25
25,@CNN,0.0,0.0,1.0,0.0,"""I went up to him as a dad. ... I don't go home to my complete family anymore. My daughter was killed."" - Fred Gutt… https://t.co/7fMZFve8e1",Wed Sep 05 00:05:56 +0000 2018,26
26,@CNN,0.296,0.114,0.714,0.171,Capitol Police arrest 70 people on the first day of Brett Kavanaugh's Supreme Court confirmation hearings… https://t.co/UYQNleMLTp,Tue Sep 04 23:57:25 +0000 2018,27
27,@CNN,0.0,0.0,1.0,0.0,"RT @CNNSitRoom: ""You couldn't have a portrait of someone that was more unfit for the office of President than Donald Trump ... what's most…",Tue Sep 04 23:50:40 +0000 2018,28
28,@CNN,-0.802,0.291,0.709,0.0,"RT @CNNSitRoom: Warnings of an ""orange jump suit,"" insults galore, and reports of stolen papers for the sake of protecting the country - ju…",Tue Sep 04 23:50:19 +0000 2018,29
29,@CNN,-0.5413,0.225,0.775,0.0,The Bob Woodward book's most frightening message | @CNNOpinion by Juliette Kayyem https://t.co/Ysaf5Sm5CU https://t.co/FjlnOm9kCI,Tue Sep 04 23:46:26 +0000 2018,30
30,@CNN,0.3612,0.138,0.601,0.261,"""How many people have to die before it's a matter of peace and security?"" US Ambassador to the United Nations Nikki… https://t.co/pyrrffqynF",Tue Sep 04 23:35:03 +0000 2018,31
31,@CNN,-0.296,0.104,0.896,0.0,"After 13 years, authorities have finally recovered a pair of ruby red slippers worn by Judy Garland in ""The Wizard… https://t.co/rNe2Uq3UyG",Tue Sep 04 23:33:00 +0000 2018,32
32,@CNN,0.0,0.0,1.0,0.0,Why Nike is betting its slogan on Colin Kaepernick https://t.co/JTmCkYQTXP https://t.co/za7RjbbY7d,Tue Sep 04 23:26:28 +0000 2018,33
33,@CNN,0.4939,0.0,0.856,0.144,"A day after The New Yorker rescinded its invitation for Steve Bannon to attend its annual festival, The Economist s… https://t.co/1Lg7D94MIM",Tue Sep 04 23:19:08 +0000 2018,34
34,@CNN,0.0,0.0,1.0,0.0,"Tiger Woods, Phil Mickelson and Bryson DeChambeau have been selected as Ryder Cup wildcard picks by US captain Jim… https://t.co/UBmaQu2Nto",Tue Sep 04 23:12:36 +0000 2018,35
35,@CNN,0.5574,0.0,0.783,0.217,Read Supreme Court nominee Brett Kavanaugh's opening statement to the Senate Judiciary Committee… https://t.co/384T4R9FMf,Tue Sep 04 23:03:07 +0000 2018,36
36,@CNN,-0.5994,0.187,0.813,0.0,Filmmaker Tyler Perry and civil rights attorney Benjamin Crump have announced the filing of a wrongful death lawsui… https://t.co/Cjm3WhxfUC,Tue Sep 04 23:02:08 +0000 2018,37
37,@CNN,0.0,0.0,1.0,0.0,"Colin Kaepernick sells, Nike has calculated https://t.co/Jk2k4G4n6G",Tue Sep 04 22:59:07 +0000 2018,38
38,@CNN,-0.5719,0.27,0.73,0.0,"""Law &amp; Order: Hate Crimes"" is coming to NBC https://t.co/02aMRrKgmf https://t.co/AVTqp8xekM",Tue Sep 04 22:57:04 +0000 2018,39
39,@CNN,0.0,0.0,1.0,0.0,"The CDC has issued guidelines for the first time on treating children with concussions, saying they will provide do… https://t.co/RkvLQZXwd3",Tue Sep 04 22:49:06 +0000 2018,40
40,@CNN,0.4404,0.0,0.868,0.132,"For the second time in four years, Bill Cosby's star on the Hollywood Walk of Fame has been vandalized… https://t.co/7zbJUszhB6",Tue Sep 04 22:39:09 +0000 2018,41
41,@CNN,0.0,0.0,1.0,0.0,It's shaping up to be a tight race for Florida governor https://t.co/oRn2uAPWQI https://t.co/2lPZxisVme,Tue Sep 04 22:39:09 +0000 2018,42
42,@CNN,0.0,0.0,1.0,0.0,"Pope Francis met with Cardinal Donald Wuerl last week, a source says. Wuerl is facing increasing scrutiny over his… https://t.co/52IfMqRZHq",Tue Sep 04 22:35:09 +0000 2018,43
43,@CNN,0.0,0.0,1.0,0.0,A group of UK lawmakers are calling for an independent inquiry into the Home Office's treatment of tens of thousand… https://t.co/YRqykoHAco,Tue Sep 04 22:29:02 +0000 2018,44
44,@CNN,0.0,0.0,1.0,0.0,"""Cosby Show"" actor Geoffrey Owens joins @andersoncooper tonight to talk about the effort to ""job-shame"" him after p… https://t.co/TEjX3kUORe",Tue Sep 04 22:24:12 +0000 2018,45
45,@CNN,-0.6418,0.22,0.78,0.0,The real reason Bob Woodward's book is so damaging for Trump | Analysis by @CillizzaCNN https://t.co/ihGJ8HKbMD https://t.co/mREdO5DJiI,Tue Sep 04 22:19:06 +0000 2018,46
46,@CNN,-0.5106,0.191,0.809,0.0,The disturbing message for students in Urban Meyer's suspension | @CNNOpinion by Daron K. Roberts… https://t.co/osdZwacCbM,Tue Sep 04 22:08:25 +0000 2018,47
47,@CNN,-0.5574,0.153,0.847,0.0,"The body of a second person who died after two boats collided on the Colorado River has been recovered, Arizona aut… https://t.co/g3VGbcsp1t",Tue Sep 04 21:59:53 +0000 2018,48
48,@CNN,0.0,0.0,1.0,0.0,"Republican Sen. Bob Corker says President Trump shouldn't be ""whining"" about Attorney General Jeff Sessions: ""If th… https://t.co/AGsxsBNDWf",Tue Sep 04 21:51:15 +0000 2018,49
49,@CNN,-0.34,0.118,0.882,0.0,"President Trump called Bob Woodward on August 14, alarmed that the veteran journalist was publishing a new book on… https://t.co/viEBOxInSm",Tue Sep 04 21:38:45 +0000 2018,50
50,@CNN,0.5267,0.0,0.848,0.152,"""The comments from the White House yesterday about trying to politicize the Department of Justice -- they were wron… https://t.co/nJpxvPVMsj",Tue Sep 04 21:36:48 +0000 2018,51
51,@CNN,0.3182,0.0,0.901,0.099,"RT @TheLeadCNN: ""I think this book obviously carries a fair amount of liability,"" says GOP strategist Josh Holmes on Bob Woodward's new boo…",Tue Sep 04 21:27:53 +0000 2018,52
52,@CNN,0.5267,0.0,0.833,0.167,"The NFL releases a statement a day after Nike announces a new deal with Colin Kaepernick: ""The social justice issue… https://t.co/AkRpMbOMvH",Tue Sep 04 21:26:36 +0000 2018,53
53,@CNN,0.0,0.0,1.0,0.0,"RT @CNNPolitics: Brett Kavanaugh calls his mother one of his ""judicial heroes,"" and recounts her role as a public school teacher during a ""…",Tue Sep 04 21:19:23 +0000 2018,54
54,@CNN,-0.2732,0.1,0.9,0.0,"President Trump's lawyer warned him of an ""orange jump suit"" if he testifies to Robert Mueller, according to a new… https://t.co/i0dtlXLfC8",Tue Sep 04 21:17:00 +0000 2018,55
55,@CNN,-0.1406,0.079,0.921,0.0,"Fred Guttenberg, the father of a Parkland shooting victim, says he tried to approach Brett Kavanaugh, but the Supre… https://t.co/fC3n3pbQ2z",Tue Sep 04 21:07:08 +0000 2018,56
56,@CNN,0.0,0.0,1.0,0.0,"The White House pushes back against claims in Bob Woodward's book, saying it's ""nothing more than fabricated storie… https://t.co/D1gvblmR2D",Tue Sep 04 21:01:19 +0000 2018,57
57,@CNN,0.4404,0.0,0.775,0.225,"Good for you, Monica Lewinsky | @CNNOpinion by Jill Filipovic https://t.co/07CCYhpVUA https://t.co/JIBZxIRI96",Tue Sep 04 20:44:23 +0000 2018,58
58,@CNN,0.0,0.0,1.0,0.0,RT @AC360: 'Cosby Show' actor Geoffrey Owens joins @andersoncooper tonight to talk about the effort to 'job-shame' him after photos of him…,Tue Sep 04 20:35:58 +0000 2018,59
59,@CNN,0.5849,0.0,0.818,0.182,13 of the most fascinating moments from Donald Trump's phone call with Bob Woodward | Analysis by @CillizzaCNN… https://t.co/dbKK5qEAFp,Tue Sep 04 20:33:15 +0000 2018,60
60,@CNN,-0.5267,0.173,0.827,0.0,"For 13 years, the fate of a missing pair of red sequined slippers worn by actress Judy Garland as Dorothy in ""The W… https://t.co/dEF29EnXp6",Tue Sep 04 20:20:13 +0000 2018,61
61,@CNN,0.2732,0.0,0.896,0.104,"Bob Woodward's ""Fear"" book includes ""new evidence that will make Trump's fitness a subject of discussion again -- a… https://t.co/WiL8oYKCFy",Tue Sep 04 20:10:08 +0000 2018,62
62,@CNN,0.5574,0.0,0.847,0.153,"RT @CNNPolitics: Democratic Sen. Kamala Harris says nominating someone to the Supreme Court is ""personal,"" because ""when we talk about our…",Tue Sep 04 20:09:01 +0000 2018,63
63,@CNN,-0.802,0.272,0.728,0.0,RT @CNNMoney: Markets edge lower. Dow loses 12 points. S&amp;P 500 and Nasdaq dip 0.2%. Tesla sinks 4% on negative Goldman Sachs report. Nike f…,Tue Sep 04 20:08:28 +0000 2018,64
64,@CNN,-0.2263,0.128,0.872,0.0,President Trump to name climate change skeptic as adviser on emerging technologies https://t.co/vNFsKdKnm7 https://t.co/ewv65Wn9v3,Tue Sep 04 20:00:07 +0000 2018,65
65,@CNN,0.1571,0.0,0.929,0.071,FEMA was so overwhelmed by the time Hurricane Maria hit Puerto Rico that more than half the workers it was deployin… https://t.co/FETCJ3nk86,Tue Sep 04 19:50:06 +0000 2018,66
66,@CNN,-0.7845,0.301,0.699,0.0,Bob Woodward's peek behind the Trump curtain is 100% as terrifying as we feared | Analysis by @CillizzaCNN… https://t.co/hsNtiZuOk8,Tue Sep 04 19:40:10 +0000 2018,67
67,@CNN,0.4404,0.0,0.822,0.178,"Eminem's latest album, ""Kamikaze,"" is quickly rising to the top of the charts after its surprise release last week… https://t.co/NsATssx8xj",Tue Sep 04 19:32:05 +0000 2018,68
68,@CNN,0.1531,0.0,0.867,0.133,"""I want a judge, I don't want a politician,"" Sen. John Kennedy says, describing his expectations for the next US Su… https://t.co/Bz9Rg6p9aa",Tue Sep 04 19:28:28 +0000 2018,69
69,@CNN,-0.7906,0.318,0.682,0.0,"President Trump has called AG Jeff Sessions ""mentally retarded"" and a ""dumb Southerner,"" according to Bob Woodward'… https://t.co/ZB79Ok1Tf5",Tue Sep 04 19:25:09 +0000 2018,70
70,@CNN,-0.6124,0.167,0.833,0.0,"""I was only devastated for an hour or two."" Former ""Cosby Show"" actor Geoffrey Owens says the outpouring of support… https://t.co/zQTYAJupOD",Tue Sep 04 19:20:30 +0000 2018,71
71,@CNN,0.0258,0.115,0.766,0.119,The largest nail manufacturer in the United States continues to lay off workers as it fights against crippling stee… https://t.co/weREzAyfYo,Tue Sep 04 19:10:05 +0000 2018,72
72,@CNN,0.0,0.0,1.0,0.0,Pope Francis can't afford to remain silent | @CNNOpinion by James A. Gagliano https://t.co/xajyLLDT1D https://t.co/KUbH7jT23T,Tue Sep 04 19:00:07 +0000 2018,73
73,@CNN,0.0,0.0,1.0,0.0,"Almost 90 elephant carcasses have been found during a survey in northern Botswana, revealing ""unprecedented"" levels… https://t.co/gr4nHhjRi2",Tue Sep 04 18:50:07 +0000 2018,74
74,@CNN,-0.6908,0.231,0.769,0.0,"Sen. Richard Blumenthal calls on Kavanaugh to condemn Trump's attack on the rule of law and judiciary: ""At the end… https://t.co/uROVAugUpu",Tue Sep 04 18:49:06 +0000 2018,75
75,@CNN,0.0,0.0,1.0,0.0,"RT @CNNPolitics: Democratic Sen. Richard Blumenthal, responding to GOP Sen. Ben Sasse’s plea to “stop the charades,” says while he agrees,…",Tue Sep 04 18:43:35 +0000 2018,76
76,@CNN,0.7003,0.0,0.756,0.244,GOP Sen. Jeff Flake says he shares Democrats’ concern over Trump’s Supreme Court pick Brett Kavanaugh that stems fr… https://t.co/ZOh8wfH4Xq,Tue Sep 04 18:42:40 +0000 2018,77
77,@CNN,0.34,0.0,0.87,0.13,A Chinese kindergarten welcomed children back to school at the beginning of term with a pole dancing display https://t.co/EpYCb24VLD,Tue Sep 04 18:40:05 +0000 2018,78
78,@CNN,0.0,0.0,1.0,0.0,"RT @CNNnewsroom: ""This vote and this proceeding could not be more consequential in light of what's at stake,"" says Democratic Sen. Richard…",Tue Sep 04 18:31:36 +0000 2018,79
79,@CNN,-0.2732,0.11,0.89,0.0,"Monica Lewinsky cut a live interview short during a conference in Jerusalem Monday night after being asked an ""off… https://t.co/HYvLw6doDd",Tue Sep 04 18:30:27 +0000 2018,80
80,@CNN,0.0,0.0,1.0,0.0,Nike's decision to use Colin Kaepernick as the face of its latest advertising campaign has some sports fans destroy… https://t.co/XyNP97FaHZ,Tue Sep 04 18:20:09 +0000 2018,81
81,@CNN,-0.7184,0.3,0.7,0.0,"Four out of five adults are at risk of early death in England, a study finds https://t.co/g79tpISx9n",Tue Sep 04 18:10:04 +0000 2018,82
82,@CNN,0.6908,0.0,0.759,0.241,"Warren Buffett on Apple’s dominance: “Any time you have a magnificent castle on the hill, people are gonna come and… https://t.co/w4kXzQzGap",Tue Sep 04 18:02:56 +0000 2018,83
83,@CNN,0.0,0.0,1.0,0.0,"When asked if they'd prefer to vote for a man or a woman in the congressional election this fall, the vast majority… https://t.co/11DTFRJoOS",Tue Sep 04 17:51:00 +0000 2018,84
84,@CNN,0.3818,0.0,0.581,0.419,"Amazon is now worth $1,000,000,000,000 https://t.co/qjHMvpdp38 https://t.co/ennWUjzsCD",Tue Sep 04 17:41:43 +0000 2018,85
85,@CNN,0.0,0.0,1.0,0.0,Mercedes-Benz just revealed its first all-electric SUV https://t.co/WZUUipBBJU https://t.co/9Xn5dpKezx,Tue Sep 04 17:30:10 +0000 2018,86
86,@CNN,0.4019,0.0,0.876,0.124,"President Trump phoned Bob Woodward ahead of his book’s release, first saying “nobody told me about” his desire for… https://t.co/NQOdhElaIE",Tue Sep 04 17:20:52 +0000 2018,87
87,@CNN,0.0,0.0,1.0,0.0,A group of women dressed as handmaids — a reference to Margaret Atwood's “The Handmaid’s Tale” — appeared outside t… https://t.co/m5iAOUimtA,Tue Sep 04 17:10:42 +0000 2018,88
88,@CNN,0.7506,0.0,0.726,0.274,Why is Warren Buffet launching a health care company? He tells @PoppyHarlowCNN the current health care system is br… https://t.co/XjNS3CTOjA,Tue Sep 04 17:05:14 +0000 2018,89
89,@CNN,0.0,0.0,1.0,0.0,"JUST IN: Former Arizona Sen. Jon Kyl will be appointed to replace John McCain in the Senate through 2020, three GOP… https://t.co/aM7KArcgDd",Tue Sep 04 16:55:50 +0000 2018,90
90,@CNN,0.0,0.0,1.0,0.0,Jury selection begins for second Paul Manafort trial https://t.co/FzraCW4j7A https://t.co/TzTq8c7mSr,Tue Sep 04 16:40:05 +0000 2018,91
91,@CNN,0.0,0.0,1.0,0.0,Chicago Mayor Rahm Emanuel announces that he won't seek re-election https://t.co/iez1AZvfuv https://t.co/S4NqrJjd6L,Tue Sep 04 16:31:31 +0000 2018,92
92,@CNN,0.128,0.208,0.609,0.183,Protesters have repeatedly interrupted Judge Brett Kavanaugh’s Supreme Court confirmation hearing on Capitol Hill.… https://t.co/z6XS4OC0tI,Tue Sep 04 16:20:30 +0000 2018,93
93,@CNN,0.4767,0.0,0.773,0.227,"BREAKING: Amazon has become America’s second trillion company. The company’s total market value passed $1,000,000,0… https://t.co/7OiRUkx1aS",Tue Sep 04 15:54:38 +0000 2018,94
94,@CNN,0.2235,0.0,0.894,0.106,"Billionaire investor Warren Buffett tells @PoppyHarlowCNN he is not worried about America's future. ""I'm not worrie… https://t.co/lt3S60Kh7h",Tue Sep 04 15:40:53 +0000 2018,95
95,@CNN,-0.6801,0.227,0.773,0.0,"President Trump's closest aides stole papers off his desk to stop what they saw as his most dangerous impulses, Bob… https://t.co/sX0GnogvSn",Tue Sep 04 15:32:04 +0000 2018,96
96,@CNN,-0.1531,0.074,0.926,0.0,A 20-year-old law student is set to be the first Miss England finalist to wear a hijab while competing for the cove… https://t.co/7RQQRHq1rf,Tue Sep 04 15:25:17 +0000 2018,97
97,@CNN,-0.5859,0.311,0.556,0.133,"""Threat to women’s rights.""

""Brett Kavanaugh is the wrong person for the Supreme Court.""

Here's what protesters a… https://t.co/eKMoEsAZNT",Tue Sep 04 15:16:13 +0000 2018,98
98,@CNN,-0.4588,0.214,0.786,0.0,"Aretha Franklin's family slams pastor for ""offensive and distasteful"" eulogy https://t.co/ZmAyewWoUn https://t.co/IhxDRiW2dv",Tue Sep 04 15:07:53 +0000 2018,99
99,@CNN,0.0772,0.102,0.78,0.117,"Facebook's former security chief: US elections are at risk of being the ""World Cup of information warfare""… https://t.co/KnnGCvhu9b",Tue Sep 04 14:50:03 +0000 2018,100
